[run number],visualization,initial-population,[step],count turtles,mean-of-vision,mean-of-metabolism,mean [metabolism] of turtles,mean [vision] of turtles,(count turtles) / (initial-population),(count good_vision_turtles) / (initial-population),(count good_metabolism_turtles) / (initial-population),(count bad_vision_turtles) / (initial-population),(count bad_metabolism_turtles) / (initial-population)
800,no-visualization,880,100,388,3.511363636,2.484090909,1.427835052,3.729381443,0.440909091,0.25,0.439772727,0.190909091,0.001136364
801,no-visualization,900,100,392,3.415555556,2.466666667,1.466836735,3.558673469,0.435555556,0.23,0.434444444,0.205555556,0.001111111
802,no-visualization,900,100,389,3.527777778,2.526666667,1.455012853,3.645244216,0.432222222,0.23,0.432222222,0.202222222,0
803,no-visualization,900,100,407,3.412222222,2.494444444,1.464373464,3.574938575,0.452222222,0.225555556,0.452222222,0.226666667,0
804,no-visualization,900,100,397,3.522222222,2.475555556,1.438287154,3.594458438,0.441111111,0.236666667,0.441111111,0.204444444,0
805,no-visualization,900,100,384,3.573333333,2.532222222,1.489583333,3.721354167,0.426666667,0.244444444,0.426666667,0.182222222,0
806,no-visualization,900,100,404,3.526666667,2.486666667,1.435643564,3.584158416,0.448888889,0.237777778,0.448888889,0.211111111,0
807,no-visualization,900,100,385,3.503333333,2.511111111,1.441558442,3.722077922,0.427777778,0.233333333,0.427777778,0.194444444,0
808,no-visualization,900,100,384,3.505555556,2.535555556,1.479166667,3.588541667,0.426666667,0.231111111,0.422222222,0.195555556,0.004444444
809,no-visualization,900,100,415,3.577777778,2.466666667,1.491566265,3.638554217,0.461111111,0.247777778,0.46,0.213333333,0.001111111
810,no-visualization,900,100,408,3.517777778,2.47,1.490196078,3.781862745,0.453333333,0.265555556,0.451111111,0.187777778,0.002222222
811,no-visualization,900,100,413,3.5,2.458888889,1.498789346,3.588377724,0.458888889,0.246666667,0.458888889,0.212222222,0
812,no-visualization,900,100,382,3.568888889,2.506666667,1.437172775,3.748691099,0.424444444,0.244444444,0.421111111,0.18,0.003333333
815,no-visualization,900,100,379,3.47,2.551111111,1.506596306,3.635883905,0.421111111,0.223333333,0.42,0.197777778,0.001111111
813,no-visualization,900,100,408,3.581111111,2.501111111,1.460784314,3.634803922,0.453333333,0.242222222,0.453333333,0.211111111,0
814,no-visualization,900,100,425,3.502222222,2.437777778,1.48,3.614117647,0.472222222,0.242222222,0.472222222,0.23,0
817,no-visualization,900,100,405,3.433333333,2.461111111,1.422222222,3.454320988,0.45,0.214444444,0.448888889,0.235555556,0.001111111
818,no-visualization,900,100,405,3.527777778,2.49,1.501234568,3.669135802,0.45,0.246666667,0.448888889,0.203333333,0.001111111
816,no-visualization,900,100,421,3.59,2.476666667,1.475059382,3.693586698,0.467777778,0.265555556,0.467777778,0.202222222,0
819,no-visualization,900,100,396,3.604444444,2.526666667,1.507575758,3.787878788,0.44,0.244444444,0.438888889,0.195555556,0.001111111
820,no-visualization,900,100,388,3.458888889,2.525555556,1.484536082,3.520618557,0.431111111,0.205555556,0.431111111,0.225555556,0
821,no-visualization,920,100,441,3.485869565,2.477173913,1.512471655,3.585034014,0.479347826,0.25326087,0.479347826,0.226086957,0
823,no-visualization,920,100,418,3.483695652,2.47826087,1.440191388,3.583732057,0.454347826,0.234782609,0.454347826,0.219565217,0
822,no-visualization,920,100,407,3.468478261,2.480434783,1.442260442,3.577395577,0.442391304,0.241304348,0.441304348,0.201086957,0.001086957
825,no-visualization,920,100,406,3.582608696,2.468478261,1.47044335,3.65270936,0.441304348,0.245652174,0.441304348,0.195652174,0
824,no-visualization,920,100,404,3.476086957,2.497826087,1.46039604,3.70049505,0.439130435,0.234782609,0.439130435,0.204347826,0
826,no-visualization,920,100,414,3.438043478,2.5,1.461352657,3.519323671,0.45,0.225,0.447826087,0.225,0.002173913
827,no-visualization,920,100,393,3.52173913,2.527173913,1.470737913,3.732824427,0.427173913,0.238043478,0.423913043,0.189130435,0.00326087
828,no-visualization,920,100,408,3.451086957,2.533695652,1.458333333,3.639705882,0.443478261,0.245652174,0.443478261,0.197826087,0
830,no-visualization,920,100,409,3.495652174,2.480434783,1.486552567,3.579462103,0.444565217,0.22826087,0.444565217,0.216304348,0
829,no-visualization,920,100,409,3.497826087,2.5,1.484107579,3.589242054,0.444565217,0.222826087,0.444565217,0.22173913,0
831,no-visualization,920,100,403,3.477173913,2.52826087,1.478908189,3.595533499,0.438043478,0.229347826,0.438043478,0.208695652,0
832,no-visualization,920,100,381,3.49673913,2.581521739,1.480314961,3.624671916,0.414130435,0.219565217,0.414130435,0.194565217,0
833,no-visualization,920,100,388,3.456521739,2.506521739,1.474226804,3.525773196,0.42173913,0.215217391,0.420652174,0.206521739,0.001086957
834,no-visualization,920,100,416,3.563043478,2.5,1.478365385,3.71875,0.452173913,0.25,0.452173913,0.202173913,0
836,no-visualization,920,100,398,3.525,2.530434783,1.459798995,3.570351759,0.432608696,0.227173913,0.432608696,0.205434783,0
835,no-visualization,920,100,387,3.497826087,2.542391304,1.475452196,3.61498708,0.420652174,0.214130435,0.416304348,0.206521739,0.004347826
837,no-visualization,920,100,398,3.452173913,2.522826087,1.464824121,3.537688442,0.432608696,0.218478261,0.432608696,0.214130435,0
838,no-visualization,920,100,402,3.57173913,2.513043478,1.450248756,3.587064677,0.436956522,0.229347826,0.436956522,0.207608696,0
839,no-visualization,920,100,404,3.492391304,2.508695652,1.497524752,3.569306931,0.439130435,0.215217391,0.439130435,0.223913043,0
840,no-visualization,920,100,402,3.45,2.498913043,1.457711443,3.55721393,0.436956522,0.213043478,0.436956522,0.223913043,0
841,no-visualization,940,100,397,3.480851064,2.489361702,1.40302267,3.609571788,0.422340426,0.226595745,0.422340426,0.195744681,0
844,no-visualization,940,100,418,3.470212766,2.484042553,1.4784689,3.69138756,0.444680851,0.246808511,0.444680851,0.19787234,0
843,no-visualization,940,100,442,3.504255319,2.430851064,1.447963801,3.760180995,0.470212766,0.275531915,0.470212766,0.194680851,0
842,no-visualization,940,100,437,3.60212766,2.485106383,1.498855835,3.71624714,0.464893617,0.261702128,0.464893617,0.203191489,0
845,no-visualization,940,100,426,3.413829787,2.469148936,1.4342723,3.600938967,0.453191489,0.232978723,0.453191489,0.220212766,0
846,no-visualization,940,100,417,3.520212766,2.544680851,1.503597122,3.508393285,0.443617021,0.215957447,0.443617021,0.227659574,0
847,no-visualization,940,100,420,3.467021277,2.44893617,1.483333333,3.526190476,0.446808511,0.228723404,0.446808511,0.218085106,0
